,Iterations,Cost
0,0,22.41883282
1,1,22.3750879
2,2,21.74538379
3,3,21.20992707
4,4,21.1815526
5,5,21.25978612
6,6,21.13282545
7,7,21.04982625
8,8,20.89804498
9,9,20.76556393
10,10,20.84143192
11,11,20.45014142
12,12,20.33896313
13,13,20.22344925
14,14,20.23166719
15,15,20.36256581
16,16,20.24484528
17,17,20.22423995
18,18,20.31793312
19,19,20.20681196
20,20,20.1327902
21,21,20.27482742
22,22,20.22300021
23,23,20.25284057
24,24,20.25310525
25,25,20.255716
26,26,20.13293917
27,27,20.09687781
28,28,20.23913536
29,29,20.2181776
30,30,20.18390353
31,31,20.1183802
32,32,19.86923153
33,33,19.74005122
34,34,19.72877433
35,35,19.70042586
36,36,19.69229166
37,37,19.84754096
38,38,19.82903391
39,39,19.75990546
40,40,19.65968606
41,41,19.68161001
42,42,19.62367119
43,43,19.68177665
44,44,19.74328421
45,45,19.73618702
46,46,19.71357744
47,47,19.67541724
48,48,19.66496834
49,49,19.0256652
50,50,19.05470554
51,51,19.0196675
52,52,19.02362463
53,53,19.0523003
54,54,19.03131163
55,55,19.01012478
56,56,19.03796971
57,57,19.06578554
58,58,19.11195767
59,59,19.11369636
60,60,19.27391969
61,61,19.43383042
62,62,19.40844484
63,63,19.31050908
64,64,19.49959272
65,65,19.46304511
66,66,19.62889376
67,67,19.63723378
68,68,19.93860406
69,69,19.56095523
70,70,19.54533325
71,71,19.54778855
72,72,19.52500597
73,73,19.18790661
74,74,19.18288361
75,75,18.54124348
76,76,18.55451912
77,77,18.44349362
78,78,18.54282667
79,79,18.32161444
80,80,18.28424931
81,81,18.25371077
82,82,18.23023773
83,83,18.28502707
84,84,18.25042517
85,85,18.20256674
86,86,18.2411643
87,87,18.28004483
88,88,18.46523404
89,89,18.37263865
90,90,18.43047174
91,91,17.92745224
92,92,17.91750649
93,93,17.9326982
94,94,18.08780209
95,95,18.30661102
96,96,18.01044739
97,97,17.53091393
98,98,17.33636689
99,99,17.35269648
100,100,17.31337075
101,101,17.32108714
102,102,17.09505284
103,103,17.10563278
104,104,17.11180908
105,105,16.89446167
106,106,16.95143234
107,107,16.93167235
108,108,16.94461851
109,109,16.93626404
110,110,16.91365096
111,111,16.967927
112,112,16.89766806
113,113,16.92172896
114,114,16.92064791
115,115,16.92108906
116,116,16.92580986
117,117,16.92776709
118,118,16.87678233
119,119,16.74233558
120,120,16.73362078
121,121,16.7184204
122,122,16.69530844
123,123,16.66188768
124,124,16.70273571
125,125,16.70153492
126,126,16.71709468
127,127,16.74646047
128,128,16.7583474
129,129,16.77133149
130,130,16.782411
131,131,16.76503664
132,132,16.76340092
133,133,16.76962725
134,134,16.78986679
135,135,16.78723815
136,136,16.75364271
137,137,16.84906303
138,138,16.82366761
139,139,16.88268996
140,140,16.89160351
141,141,16.87826309
142,142,16.88142319
143,143,16.9178179
144,144,16.91903135
145,145,16.90596433
146,146,16.91038943
147,147,16.9151917
148,148,16.92362135
149,149,16.93156112
150,150,17.00106483
151,151,17.05144217
152,152,16.75826497
153,153,16.77652657
154,154,16.77109693
155,155,16.91572297
156,156,16.97462924
157,157,16.96331652
158,158,16.87661031
159,159,16.88299345
160,160,16.806841
161,161,16.77803744
162,162,16.74318429
163,163,16.726068
164,164,16.80095174
165,165,16.8287418
166,166,16.74979536
167,167,16.76392928
168,168,16.7710039
169,169,16.81464944
170,170,16.81422531
171,171,16.75744825
172,172,16.72616401
173,173,16.72610016
174,174,16.73252661
175,175,16.65554003
176,176,16.65724028
177,177,16.67566491
178,178,16.67808724
179,179,16.66618334
180,180,16.77174399
181,181,16.77221598
182,182,16.50934743
183,183,16.48788313
184,184,16.4753498
185,185,16.47317748
186,186,16.47450386
187,187,16.49962343
188,188,16.49082969
189,189,16.49391089
190,190,16.4958607
191,191,16.49511093
192,192,16.48770112
193,193,16.52565804
194,194,16.53222751
195,195,16.59119609
196,196,16.58269622
197,197,16.54298501
198,198,16.58004996
199,199,16.56485528
200,200,16.54735064
201,201,16.5299557
202,202,16.5520296
203,203,16.57827929
204,204,16.59203913
205,205,16.59430849
206,206,16.59720925
207,207,16.65485611
208,208,16.66055524
209,209,16.6607051
210,210,16.6854919
211,211,16.74161231
212,212,16.81983708
213,213,16.89205666
214,214,16.96165992
215,215,16.95571291
216,216,16.96213393
217,217,16.96538451
218,218,16.96747776
219,219,17.00251775
220,220,17.00007548
221,221,17.0049684
222,222,17.01900121
223,223,17.0695879
224,224,17.14412607
225,225,17.14798085
226,226,17.13201827
227,227,17.10730793
228,228,17.04942397
229,229,16.97804321
230,230,16.90937629
231,231,16.92142039
232,232,16.97270046
233,233,16.97208429
234,234,16.97534316
235,235,16.93151577
236,236,16.97559042
237,237,16.9905598
238,238,17.02510421
239,239,17.00929035
240,240,17.03308688
241,241,16.99728347
242,242,16.99754278
243,243,16.98148199
244,244,16.98423854
245,245,16.98262816
246,246,16.98215917
247,247,16.98101877
248,248,17.01000006
249,249,17.02188801
250,250,16.90245574
251,251,16.93047429
252,252,16.81869983
253,253,16.84168259
254,254,16.90620885
255,255,16.93520392
256,256,16.96611995
257,257,16.93129419
258,258,16.93011415
259,259,16.96112976
260,260,16.94642043
261,261,16.96580398
262,262,16.9542628
263,263,16.96914617
264,264,16.97743949
265,265,16.968358
266,266,16.7660824
267,267,16.46197698
268,268,16.35247418
269,269,16.34770592
270,270,16.34318196
271,271,16.29539909
272,272,16.2922567
273,273,16.35372377
274,274,16.35363079
275,275,16.36656109
276,276,16.37058566
277,277,16.37286816
278,278,16.4060035
279,279,16.25247403
280,280,16.25676701
281,281,16.25909571
282,282,16.2895014
283,283,16.31358068
284,284,16.31531592
285,285,16.29070953
286,286,16.30250399
287,287,16.29703677
288,288,16.36970046
289,289,16.36795943
290,290,16.36605228
291,291,16.46550689
292,292,16.46605588
293,293,16.36175827
294,294,16.34886856
295,295,16.34288811
296,296,16.3253693
297,297,16.32684268
298,298,16.41631897
299,299,16.49228191
300,300,16.52082829
301,301,16.45991186
302,302,16.49330054
303,303,16.49385329
304,304,16.48299694
305,305,16.34174498
306,306,16.33193723
307,307,16.37286269
308,308,16.35417278
309,309,16.51686022
310,310,16.51496902
311,311,16.33520108
312,312,16.3121349
313,313,16.3815078
314,314,16.3589706
315,315,16.39440605
316,316,16.36129248
317,317,16.10375922
318,318,16.10724234
319,319,16.17202617
320,320,16.09142553
321,321,16.00799592
322,322,15.98649956
323,323,16.02857525
324,324,15.99327778
325,325,15.98327278
326,326,16.01296675
327,327,16.0126462
328,328,16.00113811
329,329,15.99204023
330,330,15.99186525
331,331,16.06428859
332,332,16.05512266
333,333,16.02173515
334,334,16.1292317
335,335,16.10997026
336,336,16.07746236
337,337,16.00234887
338,338,16.00523799
339,339,16.00004919
340,340,16.00024241
341,341,15.88056676
342,342,15.9646842
343,343,15.98207176
344,344,16.00272091
345,345,16.08174187
346,346,16.11633062
347,347,16.35317671
348,348,16.33436137
349,349,16.45190263
350,350,16.22526884
351,351,16.07080028
352,352,16.05874567
353,353,16.07680867
354,354,16.09244783
355,355,15.95779671
356,356,15.98642711
357,357,15.95548714
358,358,15.91455033
359,359,15.96913615
360,360,15.96520484
361,361,15.93190179
362,362,16.03803144
363,363,16.03858607
364,364,15.98970995
365,365,15.98091121
366,366,15.98402245
367,367,16.04317627
368,368,16.03376317
369,369,15.82921978
370,370,15.8309659
371,371,15.83007068
372,372,15.84480441
373,373,15.99254719
374,374,16.02405039
375,375,16.01310997
376,376,15.9691857
377,377,15.9116893
378,378,15.92467876
379,379,15.94930078
380,380,15.94661366
381,381,15.95000959
382,382,15.84298254
383,383,15.77226509
384,384,15.75172494
385,385,15.74599086
386,386,15.74434735
387,387,15.74189154
388,388,15.71381618
389,389,15.89001976
390,390,15.88352857
391,391,15.86513397
392,392,15.78337354
393,393,15.83953591
394,394,15.8674469
395,395,15.86130062
396,396,15.85889724
397,397,15.8547353
398,398,15.85589468
399,399,15.83670788
400,400,15.77258035
401,401,15.82728038
402,402,15.83419996
403,403,15.95061754
404,404,15.97387764
405,405,16.07000563
406,406,16.04234484
407,407,16.01906554
408,408,16.07180444
409,409,15.96826714
410,410,15.94823722
411,411,15.91293056
412,412,15.89068655
413,413,15.90992697
414,414,15.88964496
415,415,15.92204791
416,416,15.91254816
417,417,15.86958082
418,418,15.88108596
419,419,15.88990951
420,420,15.85600644
421,421,15.81879019
422,422,15.81492235
423,423,15.92255115
424,424,15.92237871
425,425,15.9954868
426,426,16.01491837
427,427,16.07989559
428,428,16.04160851
429,429,16.19132726
430,430,16.19138589
431,431,16.31801683
432,432,16.33404589
433,433,16.34567596
434,434,16.33739967
435,435,16.27264779
436,436,16.25159053
437,437,16.27085825
438,438,16.31625048
439,439,16.24827179
440,440,16.27107789
441,441,16.17296445
442,442,16.19662804
443,443,16.19838104
444,444,16.21487819
445,445,16.23518944
446,446,16.15656705
447,447,16.17354975
448,448,16.08726717
449,449,16.08847618
450,450,16.0750588
451,451,16.07739894
452,452,16.06316708
453,453,16.00838044
454,454,16.13321928
455,455,16.01031998
456,456,16.06311421
457,457,16.06476753
458,458,16.06401243
459,459,16.03690215
460,460,16.00795
461,461,15.9362757
462,462,15.94889909
463,463,15.93244949
464,464,15.93595984
465,465,15.93362994
466,466,15.91189211
467,467,15.88012252
468,468,15.84729144
469,469,15.82832076
470,470,15.84315348
471,471,15.84320845
472,472,15.84321332
473,473,15.75450574
474,474,15.77021552
475,475,15.79045182
476,476,15.78354913
477,477,15.7619018
478,478,15.66678178
479,479,15.66309962
480,480,15.66809431
481,481,15.69293435
482,482,15.6856838
483,483,15.67751673
484,484,15.68427393
485,485,15.71180174
486,486,15.71651521
487,487,15.68987109
488,488,15.69863199
489,489,15.69673269
490,490,15.69674455
491,491,15.65431774
492,492,15.64972218
493,493,15.66208336
494,494,15.66887848
495,495,15.68226946
496,496,15.6487906
497,497,15.67974638
498,498,15.67236057
499,499,15.69320591
500,500,15.68780379
501,501,15.64009321
502,502,15.65339855
503,503,15.64059763
504,504,15.62782744
505,505,15.6132778
506,506,15.6136838
507,507,15.60964749
508,508,15.64865664
509,509,15.65679161
510,510,15.64300938
511,511,15.63884747
512,512,15.65430693
513,513,15.67076688
514,514,15.64068861
515,515,15.6955816
516,516,15.68604682
517,517,15.69333327
518,518,15.76532196
519,519,15.68943659
520,520,15.69908524
521,521,15.61792924
522,522,15.62347286
523,523,15.61894548
524,524,15.63207926
525,525,15.58413885
526,526,15.60318253
527,527,15.59661095
528,528,15.59136273
529,529,15.58455947
530,530,15.57554763
531,531,15.63292387
532,532,15.67560953
533,533,15.66640822
534,534,15.64668497
535,535,15.63471044
536,536,15.67460388
537,537,15.66375542
538,538,15.67789341
539,539,15.73060736
540,540,15.73618942
541,541,15.77313141
542,542,15.69963815
543,543,15.68752798
544,544,15.76141683
545,545,15.7447005
546,546,15.70254041
547,547,15.70075903
548,548,15.69977391
549,549,15.68343326
550,550,15.65850004
551,551,15.8269192
552,552,16.04773
553,553,16.1188834
554,554,16.01428593
555,555,15.96522933
556,556,15.94731047
557,557,15.92265549
558,558,15.92979597
559,559,15.9418454
560,560,15.930144
561,561,15.9451733
562,562,15.88821291
563,563,15.89288281
564,564,15.8521549
565,565,15.79960043
566,566,15.74002328
567,567,15.79607177
568,568,15.7927083
569,569,15.75755417
570,570,15.77137068
571,571,15.78946881
572,572,15.83747637
573,573,15.8357956
574,574,15.83800176
575,575,15.86209824
576,576,15.86805104
577,577,15.86460016
578,578,15.86859861
579,579,15.87445002
580,580,15.8807242
581,581,15.87499761
582,582,15.82983244
583,583,15.84195417
584,584,15.92070267
585,585,15.90866874
586,586,15.82470283
587,587,15.81679
588,588,15.81978113
589,589,15.83466025
590,590,15.90985584
591,591,15.91348117
592,592,15.84515401
593,593,15.76621163
594,594,15.78153106
595,595,15.78185456
596,596,15.77668791
597,597,15.76372125
598,598,15.66827024
599,599,15.70274869
600,600,15.73566351
601,601,15.73385268
602,602,15.75789952
603,603,15.77313391
604,604,15.81745628
605,605,15.8309806
606,606,15.82351874
607,607,15.81940217
608,608,15.81499903
609,609,15.86353512
610,610,15.86374698
611,611,15.8698568
612,612,15.87271342
613,613,15.89747229
614,614,15.83022339
615,615,15.9486042
616,616,15.94855884
617,617,15.77763581
618,618,15.74389332
619,619,15.74560854
620,620,15.75389227
621,621,15.7569016
622,622,15.94789526
623,623,15.9212278
624,624,15.90839005
625,625,15.8280383
626,626,15.82605543
627,627,15.77546884
628,628,15.96462473
629,629,15.96618045
630,630,15.97675362
631,631,15.94556001
632,632,15.95930066
633,633,15.95958142
634,634,15.9655099
635,635,15.9143588
636,636,15.94017373
637,637,15.86636667
638,638,15.81635421
639,639,15.81179055
640,640,15.92955276
641,641,15.9629101
642,642,15.96706238
643,643,16.04521384
644,644,15.9667757
645,645,15.88670856
646,646,15.87610132
647,647,15.86594757
648,648,15.80642041
649,649,15.79629273
650,650,15.7964144
651,651,15.88868868
652,652,15.84279562
653,653,15.78554954
654,654,15.78409795
655,655,15.76680181
656,656,15.76910513
657,657,15.76120082
658,658,15.71195584
659,659,15.71683969
660,660,15.75608929
661,661,15.7914073
662,662,15.7936156
663,663,15.79103959
664,664,15.79811056
665,665,15.71811319
666,666,15.68283964
667,667,15.7161174
668,668,15.78640615
669,669,15.82461055
670,670,15.84774552
671,671,15.88404194
672,672,15.94796015
673,673,15.92535279
674,674,15.9104665
675,675,15.9303706
676,676,15.89330071
677,677,15.92854365
678,678,15.90485334
679,679,15.91008162
680,680,15.90924316
681,681,15.96874409
682,682,16.0057949
683,683,15.93339035
684,684,15.92511548
685,685,15.97250393
686,686,15.96830319
687,687,16.05409414
688,688,16.10286506
689,689,16.08777195
690,690,16.16697207
691,691,16.15964678
692,692,16.10716005
693,693,16.09126007
694,694,16.14092136
695,695,16.1109385
696,696,16.09525494
697,697,16.11668985
698,698,16.2373224
699,699,16.37548633
700,700,16.46151872
701,701,16.53669659
702,702,16.63309514
703,703,16.60055125
704,704,16.6254122
705,705,16.66227086
706,706,16.79018156
707,707,16.55742468
708,708,16.66763328
709,709,16.62307968
710,710,16.60983855
711,711,16.51624689
712,712,16.57255082
713,713,16.54977495
714,714,16.55070895
715,715,16.64337905
716,716,16.65624272
717,717,16.68309894
718,718,16.682313
719,719,16.6370994
720,720,16.62161519
721,721,16.65584081
722,722,16.64924402
723,723,16.71217788
724,724,16.72554684
725,725,16.4854432
726,726,16.51033306
727,727,16.48629188
728,728,16.49376974
729,729,16.47100348
730,730,16.40817334
731,731,16.41390124
732,732,16.4685639
733,733,16.56637756
734,734,16.50320519
735,735,16.42139011
736,736,16.36383288
737,737,16.41588743
738,738,16.18263282
739,739,16.17917591
740,740,15.83406061
741,741,15.84229951
742,742,15.84345398
743,743,15.85272492
744,744,15.84332149
745,745,15.79485947
746,746,15.78923614
747,747,15.8010282
748,748,15.74340153
749,749,15.7397506
750,750,15.79212748
751,751,15.79034437
752,752,15.82629882
753,753,15.78027942
754,754,15.79196459
755,755,15.82940806
756,756,15.78302619
757,757,15.70553262
758,758,15.71109577
759,759,15.70617426
760,760,15.67208796
761,761,15.68360789
762,762,15.70146865
763,763,15.78038257
764,764,15.77447045
765,765,15.83232761
766,766,15.95732741
767,767,16.01611935
768,768,15.95607836
769,769,15.80065711
770,770,15.85274787
771,771,15.92184983
772,772,15.93280269
773,773,15.92849059
774,774,15.90194137
775,775,15.87453002
776,776,15.84840411
777,777,15.88935644
778,778,15.93601271
779,779,15.90973142
780,780,15.94551459
781,781,15.94392006
782,782,15.93594259
783,783,16.0129695
784,784,16.03161238
785,785,16.03578416
786,786,16.00787166
787,787,15.88538405
788,788,15.91988652
789,789,15.92458154
790,790,15.92619812
791,791,15.93081742
792,792,15.93559034
793,793,15.92100572
794,794,15.79813433
795,795,15.81840729
796,796,15.75390145
797,797,15.75415036
798,798,15.73086557
799,799,15.72494476
800,800,15.74317586
801,801,15.76381114
802,802,15.80390928
803,803,15.74232063
804,804,15.74577231
805,805,15.66307175
806,806,15.6926439
807,807,15.69621933
808,808,15.69727883
809,809,15.74333922
810,810,15.68873485
811,811,15.72808651
812,812,15.72484771
813,813,15.66750897
814,814,15.67048513
815,815,15.69448951
816,816,15.6071777
817,817,15.6407166
818,818,15.64571247
819,819,15.65280671
820,820,15.64429152
821,821,15.63723705
822,822,15.74713749
823,823,15.74422572
824,824,15.62972051
825,825,15.62308566
826,826,15.66483124
827,827,15.71168354
828,828,15.68582212
829,829,15.63672403
830,830,15.5796293
831,831,15.57462665
832,832,15.57647856
833,833,15.62578416
834,834,15.61152175
835,835,15.61606993
836,836,15.65198444
837,837,15.65366722
838,838,15.73179096
839,839,15.72430688
840,840,15.69753098
841,841,15.68625419
842,842,15.68697209
843,843,15.85485973
844,844,15.88794922
845,845,15.88496753
846,846,15.91644148
847,847,15.94245924
848,848,15.77511527
849,849,15.80732346
850,850,15.79849967
851,851,15.80092505
852,852,15.76763676
853,853,15.71192779
854,854,15.71634574
855,855,15.72170749
856,856,15.71337966
857,857,15.74964197
858,858,15.72277397
859,859,15.73469781
860,860,15.84341122
861,861,15.7871712
862,862,15.7967215
863,863,15.76299507
864,864,15.79314774
865,865,15.76524407
866,866,15.8052041
867,867,15.81741256
868,868,15.8386938
869,869,15.97666437
870,870,15.90342925
871,871,16.00377918
872,872,15.97539362
873,873,16.00506151
874,874,16.02638421
875,875,15.98905855
876,876,15.98009207
877,877,16.02927555
878,878,16.11438325
879,879,16.1049744
880,880,16.02435792
881,881,16.03043075
882,882,16.03319248
883,883,15.94019246
884,884,16.0220947
885,885,16.11697505
886,886,16.03540655
887,887,16.00100167
888,888,16.00828761
889,889,16.02220792
890,890,16.04335366
891,891,16.06212339
892,892,16.06105316
893,893,16.09480086
894,894,16.05051526
895,895,16.03683715
896,896,16.03821315
897,897,15.89432803
898,898,15.87640359
899,899,15.8686679
900,900,15.83254555
901,901,15.88435326
902,902,15.8784594
903,903,15.87263636
904,904,15.87299505
905,905,15.85303723
906,906,15.87260261
907,907,15.87062174
908,908,15.87379264
909,909,15.89898084
910,910,15.9930708
911,911,15.97578064
912,912,16.00458516
913,913,15.98695658
914,914,15.96486917
915,915,15.94985274
916,916,16.03365116
917,917,15.96101598
918,918,15.91503364
919,919,15.91740084
920,920,15.92641008
